indice,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality Numeric
2010-01-01,29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,56.9052776251991
2010-01-02,28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,61.16941536711954
2010-01-03,23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,57.91506620086009
2010-01-04,27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,91.99556782903633
2010-01-05,26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,86.12863654858161
2010-01-06,39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,24.06148439402932
2010-01-07,41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,32.16365805422116
2010-01-08,31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,57.50946529438527
2010-01-09,29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,38.70937841108537
2010-01-10,33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,39.31133544076424
2010-01-11,26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,94.21561820030112
2010-01-12,32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,64.46089341180581
2010-01-13,20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,92.06818095023245
2010-01-14,28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,85.59051491378871
2010-01-15,22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,91.6527556488295
2010-01-16,32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,63.58833350589833
2010-01-17,22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,91.15106431765581
2010-01-18,37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,39.1920685720053
2010-01-19,34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,58.9085243787691
2010-01-20,37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,32.12821179987009
2010-01-21,27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,56.20773748269216
2010-01-22,27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,86.27160182030454
2010-01-23,25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,89.86321913510882
2010-01-24,24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,89.87411385451264
2010-01-25,26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,85.33936807368379
2010-01-26,22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,85.31130772441384
2010-01-27,30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,94.37550932611933
